Target_Class;p_tag_count;comma_count;colon_count;hyphen_count;TTR;Compound;Positive;Neutral;Negative;FleschK_score;CC;PRP;PRP$;IN;NNP;period_count
Literary;2746;10783;84;1613;0.12353145436657215;1.0;0.203;0.675;0.122;52.79351478494627;77.0;27.0;5.0;1812.0;24.0;856621
Literary;1079;4366;118;481;0.21326702560519506;1.0;0.266;0.595;0.139;35.99170988536062;15.0;4.0;1.0;844.0;10.0;300791
Literary;1758;4561;11;701;0.15752212389380532;1.0;0.276;0.608;0.11599999999999999;59.544703761022454;55.0;23.0;7.0;623.0;24.0;409239
Love and Romance;3754;6770;149;2553;0.15148218656513462;1.0;0.22899999999999998;0.638;0.132;46.23894311269669;40.0;7.0;8.0;1250.0;18.0;648930
Literary;2027;7175;48;1543;0.15647102048314504;1.0;0.183;0.723;0.094;62.3173778371909;38.0;17.0;5.0;1456.0;40.0;501935
Literary;497;3850;418;951;0.285445838637328;1.0;0.278;0.581;0.141;44.21306008708274;11.0;6.0;0.0;435.0;4.0;199104
Literary;1740;7746;41;1146;0.14680396533928616;1.0;0.245;0.631;0.124;53.06506790944653;48.0;11.0;5.0;1008.0;27.0;509565
Literary;2441;13403;470;932;0.11620507748104188;1.0;0.20600000000000002;0.652;0.142;55.451979150555275;63.0;9.0;2.0;1706.0;26.0;723563
Literary;1561;5543;175;448;0.17052707771270645;1.0;0.23600000000000002;0.588;0.17600000000000002;43.85146452432261;23.0;1.0;0.0;787.0;12.0;388109
Literary;1992;6066;59;1372;0.17950208272788915;1.0;0.23399999999999999;0.637;0.129;48.66098113025814;21.0;1.0;0.0;584.0;9.0;383190
Literary;1866;8153;160;1533;0.1825372318947293;1.0;0.217;0.64;0.14400000000000002;35.776420166549514;27.0;15.0;5.0;928.0;23.0;536059
Literary;207;734;11;164;0.4395485131321901;1.0;0.233;0.639;0.129;45.41396367846034;3.0;;0.0;111.0;1.0;57700
Literary;2181;9801;46;1388;0.11997622642721753;1.0;0.214;0.648;0.138;47.59015472713517;44.0;11.0;4.0;1980.0;36.0;745306
Literary;1604;6200;11;1298;0.17991022396256148;1.0;0.222;0.648;0.13;48.195825320110686;33.0;11.0;5.0;992.0;6.0;510234
Literary;1783;3891;20;632;0.19145860196147385;1.0;0.159;0.7040000000000001;0.13699999999999998;54.24169219203819;12.0;2.0;2.0;914.0;10.0;322372
Literary;1868;12759;50;2067;0.11693548387096775;1.0;0.213;0.662;0.125;49.97869345786728;43.0;10.0;1.0;1233.0;17.0;713792
Literary;4254;10507;434;1971;0.10631393192558472;1.0;0.185;0.665;0.15;54.746327788736785;70.0;10.0;6.0;1581.0;51.0;834484
Literary;1318;5769;30;608;0.18752520500067213;1.0;0.22899999999999998;0.637;0.134;50.850259444127595;45.0;9.0;2.0;770.0;7.0;364618
Literary;3123;6903;15;827;0.1316605761876434;1.0;0.18899999999999997;0.698;0.113;59.650202486474114;33.0;11.0;1.0;947.0;34.0;552139
Literary;2037;7661;67;1056;0.15145464304884595;1.0;0.267;0.539;0.19399999999999998;43.66278380056989;32.0;4.0;9.0;1212.0;7.0;558823
Literary;2496;6972;45;1935;0.17176240325020015;1.0;0.254;0.607;0.139;53.877799226367465;28.0;7.0;2.0;659.0;22.0;428751
Detective and Mystery;1788;1374;126;120;0.24409997387442306;0.9999;0.174;0.6859999999999999;0.14;57.12220819392945;8.0;1.0;0.0;197.0;30.0;144533
Literary;2042;3672;91;667;0.1716111364673665;1.0;0.221;0.633;0.147;61.63988269305096;16.0;6.0;0.0;582.0;59.0;294551
Detective and Mystery;2365;6009;20;826;0.14020888425888828;1.0;0.192;0.6970000000000001;0.111;50.598483771946924;45.0;6.0;0.0;1114.0;23.0;465199
Literary;3533;12059;253;1038;0.0993108041583413;1.0;0.259;0.63;0.111;58.93472869895382;58.0;10.0;4.0;1545.0;20.0;853994
Sea and Adventure;1564;5746;16;914;0.17652951699463326;1.0;0.226;0.634;0.14;54.457632374730856;22.0;7.0;7.0;852.0;34.0;499644
Literary;1297;3339;77;1557;0.189367816091954;1.0;0.271;0.612;0.11699999999999999;49.82817053597386;14.0;4.0;0.0;597.0;8.0;310849
Literary;747;6354;577;1631;0.2387880075041592;1.0;0.24600000000000002;0.579;0.17600000000000002;49.69128299905751;31.0;9.0;1.0;649.0;9.0;331889
Literary;1386;6509;90;1332;0.20934680900560912;1.0;0.215;0.623;0.162;47.17112207848217;46.0;5.0;1.0;983.0;25.0;471684
Literary;2422;5925;141;2052;0.16795916189392052;1.0;0.207;0.6579999999999999;0.135;43.73171388999753;33.0;9.0;3.0;1443.0;27.0;696854
Literary;1657;9257;117;668;0.18032393782835215;1.0;0.215;0.6679999999999999;0.11699999999999999;35.285693481246426;32.0;3.0;1.0;1045.0;39.0;560926
Literary;302;1564;9;207;0.36113734130731295;1.0;0.18899999999999997;0.6859999999999999;0.125;36.60027437187532;11.0;5.0;1.0;249.0;6.0;116235
Literary;4267;13503;510;3514;0.1034248543587868;1.0;0.239;0.628;0.133;49.87956625900975;54.0;18.0;6.0;1517.0;80.0;981305
Love and Romance;2322;4245;66;495;0.17813659743472882;1.0;0.245;0.635;0.121;56.15973156223372;15.0;3.0;0.0;653.0;24.0;386589
