guten_genre,p_tag_count,comma_count,colon_count,hyphen_count,TTR,Positive,Neutral,Negative,FleschK_score,CC,PRP,PRP$,IN,NNP,period_count
Literary,768,3236,115,994,0.246,0.198,0.724,0.078,38.827,24,4,0,477,4,263507
Literary,3451,10199,49,2350,0.129,0.259,0.572,0.169,54.263,45,23,2,1421,17,661714
Literary,2807,7781,30,2258,0.143,0.231,0.628,0.142,49.611,49,19,2,1185,19,630785
Literary,2144,4459,185,1308,0.199,0.203,0.645,0.152,39.282,38,10,0,956,10,527194
Literary,1473,4026,49,813,0.238,0.221,0.657,0.122,50.015,15,7,1,625,15,291606
Literary,3769,11413,134,4074,0.106,0.257,0.619,0.124,47.990,69,9,3,1634,18,796084
Literary,1209,5259,72,768,0.230,0.206,0.665,0.128,43.382,12,8,1,493,5,323409
Literary,3827,11835,142,1552,0.128,0.230,0.602,0.168,37.303,23,47,7,1503,19,899651
Literary,2710,6888,45,2736,0.137,0.225,0.623,0.152,46.093,36,5,3,1162,9,647114
Literary,439,2463,20,236,0.296,0.196,0.655,0.149,36.104,13,1,2,531,7,195372
Sea and Adventure,1888,3809,41,595,0.181,0.203,0.645,0.152,42.062,22,3,0,1032,20,538962
Literary,572,3304,246,715,0.204,0.239,0.640,0.12,41.268,15,1,2,412,4,337734
Literary,1253,3306,22,400,0.193,0.233,0.639,0.128,48.307,8,2,1,434,19,258111
Literary,2644,5360,61,747,0.179,0.229,0.650,0.121,47.934,35,7,0,843,24,484176
Literary,1001,4177,3,734,0.200,0.203,0.688,0.109,53.798,19,5,1,631,15,289269
Literary,1306,6543,51,746,0.162,0.220,0.650,0.13,49.322,22,3,4,875,8,468428
Literary,270,1152,8,165,0.375,0.220,0.637,0.144,47.387,5,,1,165,1,85410
Literary,553,1610,75,272,0.293,0.224,0.632,0.144,50.047,1,3,0,225,3,121937
Literary,236,691,5,125,0.408,0.230,0.648,0.122,48.475,,1,1,96,1,52645
Literary,4446,14136,279,2938,0.122,0.273,0.574,0.153,49.470,64,22,5,1933,14,821316
Literary,2119,4817,215,678,0.170,0.187,0.640,0.173,28.761,129,11,2,1040,40,500458
Literary,68,773,0,142,0.445,0.160,0.737,0.102,42.970,2,1,0,132,1,59897
Literary,437,2308,1,328,0.295,0.186,0.657,0.157,43.866,7,2,2,294,3,162620
Literary,322,1146,1,184,0.354,0.246,0.643,0.111,51.630,7,,3,160,4,78512
Literary,390,1780,3,220,0.329,0.184,0.659,0.157,53.788,11,2,1,219,4,113790
Literary,799,3394,24,419,0.237,0.189,0.685,0.126,56.538,12,3,2,552,9,242258
Literary,2951,11560,149,2139,0.155,0.200,0.671,0.129,54.255,51,10,3,1628,32,834858
Literary,145,792,14,107,0.437,0.182,0.666,0.152,45.322,5,1,0,138,1,61120
Literary,980,1650,22,311,0.219,0.221,0.664,0.116,57.385,17,5,1,316,12,218303
Literary,195,1538,15,155,0.371,0.227,0.655,0.118,30.430,8,2,2,377,5,116260
Literary,1310,2389,33,438,0.214,0.187,0.650,0.163,58.309,9,5,0,426,12,218134
Detective and Mystery,2571,6156,7,1039,0.131,0.201,0.679,0.12,47.047,24,2,0,1010,45,474798
Love and Romance,1275,4971,20,824,0.166,0.258,0.609,0.133,56.350,28,12,3,518,9,356051
Literary,4693,12259,141,3184,0.107,0.253,0.610,0.137,62.187,38,12,5,1562,33,832431
